session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
448_4,1606.2949,17.7,847.6492,20.7,3.2456,54.0,131.6492,95.4,-2.8935,12.9,0.0,34.4,0.0,7.5,-6.8,38.1,97.0,85.6
448_5,1812.9225,54.0,903.7041,44.1,3.0548,29.4,129.7474,94.0,2.9707,41.1,0.03,42.3,29.13,41.1,-7.2,21.3,99.7,92.6
448_6,1887.3562,67.0,927.0134,54.0,2.9375,16.7,131.9972,95.5,8.5549,76.9,-2.13,13.3,31.07,53.8,-7.1,25.6,88.3,34.9
448_7,1883.8081,66.8,920.2983,51.3,3.1276,38.7,133.1376,96.4,2.1521,35.8,-7.5,1.2,26.56,27.0,-7.5,12.4,92.9,62.7
448_8,1768.3932,45.8,924.925,52.7,3.0719,31.8,127.7804,92.4,1.4812,31.7,-2.04,14.2,27.3,31.1,-7.4,14.6,94.2,71.9
45_1,1695.1355,32.0,839.088,17.9,3.0716,31.7,123.3448,89.3,-3.6308,10.2,-5.22,3.6,29.09,40.4,-7.2,21.3,87.3,29.7
45_2,1697.5145,32.7,885.4537,36.0,2.9536,17.9,118.1866,77.3,8.5431,76.6,-8.75,0.3,35.22,81.2,-7.0,28.9,91.6,53.6
45_3,1593.4058,15.1,852.5641,22.0,2.9792,20.8,118.4958,78.1,6.0224,61.8,-0.9,20.1,32.88,66.7,-6.8,38.1,93.6,67.0
45_4,1602.3219,17.0,817.7048,13.1,2.9669,19.6,122.5657,87.8,3.8556,47.2,-2.5,10.7,31.07,53.8,-6.7,43.8,85.9,24.7
45_5,1740.6425,40.6,877.161,32.7,3.0623,30.8,117.8714,76.4,9.3114,82.6,-0.73,21.9,35.27,81.4,-6.8,38.1,90.3,45.4
450_1,1820.9999,56.5,1090.6812,99.0,2.8612,12.0,119.7431,82.1,4.6522,53.5,1.5,53.4,38.48,93.1,-6.2,68.2,94.1,71.0
450_2,1826.382,57.7,1064.7231,96.6,3.1456,41.1,118.9369,79.5,6.3289,64.9,5.05,82.4,35.97,86.7,-6.5,55.0,89.1,38.4
450_3,1837.8762,59.9,1071.6569,97.2,3.2446,53.7,119.0601,80.0,4.2441,49.7,3.71,72.5,30.71,51.1,-7.1,25.6,95.5,78.7
450_4,1807.7242,53.2,1063.9042,96.4,3.0722,32.2,123.2186,88.8,3.2157,43.2,2.73,63.6,32.49,63.6,-6.6,50.1,91.6,53.6
450_5,1861.2888,63.3,1076.1873,97.9,3.0558,29.8,123.2997,89.0,8.1667,74.5,1.61,54.4,32.78,65.9,-6.6,50.1,93.0,63.2
450_6,1888.0906,67.1,1045.1234,95.0,3.2373,52.7,123.0404,88.5,-1.3462,18.4,3.3,68.5,30.96,52.8,-6.8,38.1,91.2,51.1
450_7,1822.22,57.0,1033.4172,93.8,3.2788,59.2,119.8945,83.1,-3.6198,10.3,6.56,90.0,33.38,70.2,-6.2,68.2,93.5,66.6
450_8,1812.9474,54.2,1097.2896,99.1,3.3195,67.0,119.2375,80.6,3.6768,46.5,5.91,87.5,32.1,62.0,-6.7,43.8,90.8,49.1
451_1,1974.3735,77.6,854.5393,22.9,3.5894,91.6,119.7514,82.3,6.4612,65.7,0.0,34.4,0.0,7.5,0.0,95.8,82.6,16.8
451_2,1981.4816,78.3,872.6697,29.8,3.3549,72.3,119.2553,80.7,4.7473,54.0,-5.77,2.8,34.93,80.0,-6.1,71.3,74.3,3.2
451_3,1700.986,33.9,830.5685,15.8,3.3496,71.6,120.1538,83.8,4.3597,51.3,5.11,83.0,30.7,50.9,-6.2,68.2,91.1,50.4
451_4,1944.3855,74.2,874.2584,30.6,3.3235,68.0,121.1136,85.9,10.4534,89.2,3.01,65.6,32.4,62.9,-6.2,68.2,94.3,72.4
451_5,1865.3455,64.0,885.0549,35.8,3.2764,58.2,120.5261,84.3,8.5871,77.5,-8.47,0.5,32.95,67.0,-5.7,81.1,87.7,31.7
451_6,2018.6052,82.4,916.743,49.6,3.4321,78.8,120.6942,84.9,10.7867,90.5,6.54,89.8,35.16,80.9,-5.5,84.3,93.4,66.0
451_7,1800.1619,51.5,903.6285,43.9,3.2955,62.3,120.4972,84.2,7.2154,69.7,-2.66,9.5,33.32,69.2,-6.1,71.3,93.9,68.9
451_8,1983.8843,78.5,873.1574,30.3,3.3081,64.5,121.3172,86.2,11.1201,91.2,0.0,34.4,0.0,7.5,0.0,95.8,89.2,39.2
468_1,1932.9291,73.0,944.3528,65.2,2.9206,15.1,109.6556,58.0,8.3432,76.1,-7.02,1.5,28.75,39.1,-7.4,14.6,93.2,64.4
468_2,1644.458,24.1,896.2871,41.0,3.0246,26.0,110.9893,63.3,7.0266,68.5,-2.99,9.0,28.28,36.9,-7.8,7.5,92.3,58.5
468_3,1662.2606,27.0,938.4208,60.4,2.9655,19.4,108.6715,54.2,4.6724,53.7,1.06,50.3,29.87,45.2,-7.2,21.3,91.9,56.0
468_4,1858.6838,62.7,868.8585,28.7,3.0677,31.3,112.8611,68.7,2.8761,40.6,0.0,34.4,0.0,7.5,-6.9,32.8,89.6,41.4
468_5,1851.1177,61.3,851.7678,21.7,2.9972,23.6,107.9675,51.8,5.0309,56.1,0.0,34.4,0.0,7.5,-8.6,2.9,90.7,48.5
468_6,1820.5216,56.3,940.918,62.7,2.8636,12.2,110.9915,63.5,-10.9223,1.0,0.94,49.9,29.39,42.5,-7.3,17.6,89.1,38.4
468_7,1940.7802,74.0,899.4351,42.3,2.985,22.0,106.809,49.2,6.0543,62.3,-0.94,20.0,31.97,60.4,-7.4,14.6,91.3,52.0
468_8,1867.8284,64.4,925.5741,53.2,3.0397,27.5,107.5309,50.8,7.4661,71.6,-0.81,21.1,30.93,52.4,-7.1,25.6,95.5,78.7
47_1,1908.9509,70.4,958.4118,73.8,2.8651,12.4,109.1172,55.8,3.4293,44.9,-1.53,16.9,35.55,83.6,-7.2,21.3,88.1,33.9
47_2,1898.0894,68.8,909.0535,46.1,2.7615,7.4,113.6477,70.4,-4.5884,7.4,2.0,56.3,32.04,61.4,-6.6,50.1,86.5,27.2
47_3,1913.8346,71.1,899.1282,42.2,2.7394,6.5,112.9306,69.2,-3.2308,11.5,0.0,34.4,0.0,7.5,-7.5,12.4,86.3,26.2
47_4,1911.9675,70.6,856.8832,24.1,2.8471,11.5,115.9504,74.5,-1.6154,17.4,1.08,50.7,30.27,47.6,-6.7,43.8,85.7,24.0
47_5,1971.3557,77.1,914.5894,48.5,2.8221,9.6,106.8112,49.4,5.7971,60.8,2.21,58.9,31.71,58.2,-7.2,21.3,88.1,33.9
474_1,1993.1664,79.5,841.5659,18.4,3.1102,36.8,105.6304,44.9,2.7043,39.4,-1.63,16.0,28.42,37.7,-7.1,25.6,90.3,45.4
474_2,1819.1794,55.6,1008.1554,90.4,3.2921,61.4,104.7053,41.7,10.1431,87.4,3.68,72.3,37.54,90.7,-5.9,76.3,90.7,48.5
474_3,1761.0912,44.8,792.0038,8.3,3.1564,42.5,103.5283,38.2,5.4751,59.2,0.81,48.1,29.07,40.3,-6.5,55.0,90.2,44.8
474_4,1897.8964,68.7,844.6328,19.6,3.3731,74.2,106.9575,49.7,2.5025,38.0,1.24,52.0,35.93,86.4,-6.0,73.8,89.9,43.1
474_5,1826.8557,57.8,945.0152,65.6,3.2797,59.4,107.7064,50.9,4.564,53.0,-2.05,13.9,31.28,55.1,-6.8,38.1,95.5,78.7
474_6,1824.3707,57.5,811.6163,11.4,2.9804,21.0,103.2705,37.7,6.4413,65.4,0.63,46.4,32.95,67.0,-6.4,59.2,95.3,76.5
474_7,1693.6967,31.5,836.0131,17.0,3.3651,73.7,102.4983,34.3,5.3382,58.5,4.78,80.5,28.33,37.3,-6.8,38.1,89.9,43.1
474_8,1750.4698,42.5,917.4458,50.1,3.1593,43.2,107.9071,51.6,8.2884,75.6,3.08,65.8,30.7,50.9,-6.7,43.8,90.4,46.1
478_1,1833.5415,59.6,890.1676,38.2,3.2776,58.5,110.691,61.6,2.4672,37.7,0.83,48.8,29.84,44.9,-4.9,88.6,98.7,90.8
478_2,1844.7535,60.8,890.063,37.9,3.0757,32.9,111.4207,65.4,6.0346,62.1,2.1,57.0,34.6,78.7,-4.9,88.6,92.3,58.5
478_3,1761.0479,44.6,866.4376,28.2,2.9018,13.4,111.1638,64.2,6.2758,64.4,2.14,57.6,31.35,55.2,-5.2,87.0,101.2,96.2
478_4,1819.2866,55.8,870.7659,29.3,3.2614,55.6,109.7198,58.3,8.2268,75.0,0.16,42.9,32.79,66.1,-4.8,89.3,99.5,92.0
478_5,1813.806,54.7,888.9296,37.0,3.3147,65.4,108.9381,54.9,3.7693,46.8,-1.49,17.3,26.34,26.3,-5.4,85.7,101.5,97.0
478_6,1843.877,60.6,913.607,47.5,3.0797,33.4,111.3219,64.9,6.8898,67.8,3.77,73.1,34.73,79.7,-4.5,90.4,93.7,67.6
478_7,1721.0098,37.9,886.2868,36.3,3.3285,68.3,111.7049,66.1,4.157,49.1,-1.56,16.4,31.58,57.0,-5.0,88.0,96.7,84.7
48_1,2260.625,96.9,915.2863,48.9,2.91,14.1,97.1947,22.4,-23.1958,0.2,-2.54,10.4,28.11,35.7,-7.2,21.3,95.8,81.0
48_2,2203.3987,95.4,894.0276,39.9,2.8341,10.5,102.5402,34.6,7.909,73.5,0.65,46.6,27.74,33.6,-7.3,17.6,97.4,86.7
48_3,2302.467,97.8,943.8673,64.5,2.9819,21.3,98.5969,25.3,0.3361,27.0,0.45,44.6,28.18,36.1,-7.4,14.6,96.8,85.2
48_4,2126.6904,92.4,898.8337,42.0,3.0927,35.1,99.4896,26.9,8.3298,75.9,0.15,42.7,29.12,40.9,-7.3,17.6,95.5,78.7
48_5,2403.3442,98.5,935.5721,59.4,2.9953,22.9,100.7828,29.6,4.2494,49.9,-2.34,11.7,32.75,65.7,-6.6,50.1,93.4,66.0
490_1,1908.343,70.1,861.5038,26.5,3.2032,48.4,117.8411,76.2,-3.4663,10.7,-7.98,0.9,25.12,22.9,-6.1,71.3,90.4,46.1
490_2,1932.3198,72.6,951.4099,69.7,3.2194,50.8,112.6971,68.3,8.1982,74.7,-2.14,13.0,33.57,71.8,-5.0,88.0,88.6,36.1
490_3,2011.3949,81.6,953.3736,71.1,3.3465,71.1,118.7609,79.0,5.034,56.3,-4.3,5.5,30.07,46.6,-5.6,82.8,89.4,40.4
490_4,1985.7136,78.8,930.7118,56.8,3.1128,37.2,117.0389,75.6,4.5283,52.7,-1.49,17.3,27.85,33.9,-7.0,28.9,93.0,63.2
490_5,2046.2611,85.0,936.5885,59.7,3.2234,51.1,119.8214,82.6,10.1861,87.6,-5.32,3.4,34.02,74.8,-4.8,89.3,90.6,47.9
490_6,1904.8914,69.9,901.1999,42.9,3.1488,41.7,121.8823,87.3,3.4328,45.1,-8.27,0.7,31.76,58.6,-5.2,87.0,89.9,43.1
490_7,2003.9612,80.6,928.1047,54.6,3.2153,49.9,118.5572,78.3,8.4117,76.2,-4.32,5.0,30.49,49.6,-6.1,71.3,94.2,71.9
490_8,2022.5956,83.0,958.0238,73.1,3.2299,51.8,115.4825,73.8,10.0174,86.7,0.27,43.4,34.41,77.7,-4.9,88.6,95.0,75.1
492_1,1682.2811,29.9,875.0251,31.2,3.2689,57.1,102.7097,35.1,2.2533,36.7,2.29,59.1,26.84,28.6,-6.1,71.3,84.8,21.5
492_2,2122.8657,92.1,930.4866,56.6,3.2001,47.8,102.033,32.5,-2.8593,13.4,0.03,42.3,20.08,16.4,-6.5,55.0,64.4,1.4
492_3,1736.5509,40.4,910.0945,46.6,3.2467,54.2,102.8577,35.6,-6.5014,4.6,-1.17,18.9,23.46,19.4,-6.1,71.3,91.2,51.1
492_4,1687.2513,30.6,935.5354,59.2,3.0495,28.9,104.1504,40.1,3.3314,43.7,0.5,44.9,22.41,17.7,-6.6,50.1,81.5,13.9
492_5,1567.7523,10.7,875.7629,31.7,3.3588,72.8,100.7976,29.8,-8.7632,1.5,0.18,43.1,19.72,15.8,-6.7,43.8,81.7,14.5
492_6,1611.801,19.3,926.6763,53.9,3.2728,57.7,100.946,30.5,-0.6648,21.3,0.0,34.4,0.0,7.5,-6.8,38.1,89.5,40.9
492_7,1543.1536,8.4,928.0334,54.2,3.1124,37.0,98.9772,26.0,-1.5429,17.6,-3.25,7.7,25.75,24.3,-5.8,78.7,81.4,13.5
492_8,1609.7748,18.8,961.0119,75.0,3.1324,38.9,102.7766,35.3,4.0412,48.2,-1.95,15.0,31.22,54.6,-5.2,87.0,86.1,25.2
500_1,1892.3719,68.0,1005.0224,89.7,2.9688,20.1,96.8225,21.9,6.9829,68.2,1.67,55.1,31.64,57.7,-7.1,25.6,95.5,78.7
500_2,1903.7139,69.5,1011.447,91.4,3.1859,46.0,92.1084,11.0,1.9514,33.2,-3.54,6.9,28.6,38.7,-7.5,12.4,102.3,97.9
500_3,1851.8467,61.4,958.111,73.3,2.8348,10.8,95.1749,17.6,-0.7518,20.5,3.78,73.6,33.29,69.0,-6.9,32.8,101.1,95.7
500_4,1871.8024,65.7,975.7883,79.9,3.3465,70.9,97.9326,23.8,-1.2345,18.6,-0.31,24.4,28.32,37.2,-7.1,25.6,100.8,94.8
500_5,1890.7296,67.6,1036.2155,94.1,3.0106,24.8,95.2817,17.9,9.5722,84.0,-1.09,19.2,33.25,68.8,-6.7,43.8,95.0,75.1
500_6,1866.4757,64.2,1030.0038,93.5,3.1954,47.0,96.6848,21.0,-5.0796,6.0,-1.07,19.4,30.96,52.8,-6.8,38.1,94.5,73.1
500_7,1821.2046,56.6,991.8188,86.1,3.3123,65.1,94.394,14.5,10.4617,89.3,-0.47,23.4,38.01,92.1,-6.6,50.1,100.6,94.3
500_8,1888.2778,67.3,979.3513,80.9,3.0022,24.4,96.1133,19.8,17.9926,99.8,3.29,68.2,40.32,96.9,-5.8,78.7,87.9,32.7
509_1,2164.4238,93.3,1064.744,96.7,4.4331,100.0,112.3195,67.3,15.9314,98.5,0.0,34.4,0.0,7.5,-7.6,10.7,95.5,78.7
509_2,2069.1511,87.1,1054.525,95.7,3.3701,74.0,110.5153,60.9,22.6492,100.0,-2.31,11.9,37.25,90.0,-6.2,68.2,91.9,56.0
509_3,2078.4685,88.5,1049.0542,95.2,3.4766,82.1,109.3922,56.5,15.6776,98.1,-3.62,6.7,30.04,46.3,-7.2,21.3,92.8,62.0
509_4,1916.816,71.4,984.4232,82.8,2.8184,9.3,113.1979,69.9,16.4776,98.8,1.76,55.7,32.98,67.5,-6.6,50.1,91.0,49.8
509_5,2027.2743,83.3,1152.3826,100.0,3.1909,46.5,110.8591,62.5,11.6402,92.3,-5.34,3.3,29.87,45.2,-7.0,28.9,96.7,84.7
509_6,1953.4125,75.0,1122.1143,99.3,3.2395,53.2,111.8883,66.6,8.933,79.5,-0.22,25.4,27.22,30.7,-7.5,12.4,92.6,60.7
509_7,1936.1859,73.5,991.4084,85.5,3.2943,62.0,110.1647,59.7,12.9785,95.5,4.13,76.8,30.54,50.3,-6.6,50.1,99.0,91.4
509_8,2027.6351,83.5,1129.8477,99.5,3.4793,82.6,111.3868,65.2,17.4616,99.5,-2.35,11.5,34.18,75.9,-6.6,50.1,93.7,67.6
51_1,1592.8217,14.6,953.9227,71.3,3.7068,97.9,103.6866,38.7,-7.9693,2.9,6.18,88.8,25.31,23.4,-8.1,5.2,82.0,15.6
51_2,1730.958,39.1,925.4471,53.0,3.6295,93.8,105.9865,46.1,2.2098,36.1,9.53,96.9,27.88,34.1,-7.2,21.3,81.5,13.9
51_3,1464.7406,4.0,1012.1045,91.6,3.6546,96.4,101.8274,32.0,-0.6735,20.8,6.01,88.1,30.93,52.4,-7.3,17.6,80.3,10.7
51_4,1476.806,4.5,947.0685,66.4,3.5714,90.5,102.3077,33.9,-10.8166,1.2,4.32,78.1,30.5,49.9,-7.1,25.6,81.0,12.1
51_5,1746.8556,41.7,957.6055,72.5,3.4776,82.3,103.9348,39.4,7.8737,73.3,4.78,80.5,34.72,79.5,-7.0,28.9,78.9,8.9
56_1,1533.9611,7.7,753.1329,2.2,3.1567,42.7,106.7754,49.1,3.6043,46.3,-1.79,15.4,24.86,22.7,-8.1,5.2,90.5,47.1
56_2,1380.3414,1.4,828.689,15.5,3.3079,64.2,106.3315,48.0,1.9619,33.4,2.05,56.8,22.71,18.2,-8.7,2.4,96.1,82.0
56_3,1749.3513,42.2,762.6256,3.1,3.1001,35.6,104.9485,42.7,9.1739,81.2,0.02,42.0,22.76,18.4,-8.9,1.8,95.2,75.9
56_4,1693.8131,31.7,801.4132,10.0,3.24,53.4,107.8528,51.3,13.0696,95.7,0.32,43.8,28.27,36.7,-8.0,5.9,94.0,69.9
56_5,1469.158,4.1,793.6154,8.8,3.32,67.1,105.2854,44.1,12.64,94.5,5.91,87.5,27.13,30.1,-9.4,0.5,91.4,52.8
59_1,1584.4403,13.8,957.8787,72.8,2.7792,8.4,99.4908,27.0,16.0499,98.6,-0.1,26.5,42.04,98.3,-6.7,43.8,89.6,41.4
59_2,1620.1622,20.8,891.9505,39.1,3.3519,71.9,101.4559,31.7,10.6571,89.8,0.0,34.4,0.0,7.5,-6.6,50.1,88.6,36.1
59_3,1641.0299,23.6,906.6642,45.6,3.3446,70.6,98.3259,24.4,8.5528,76.8,3.14,66.3,45.43,100.0,-5.8,78.7,91.6,53.6
59_4,1548.7946,9.5,914.2131,47.8,3.3012,63.0,97.7256,23.4,12.1905,93.6,-3.13,8.3,42.5,99.3,-6.6,50.1,92.6,60.7
59_5,1598.1249,16.0,938.8569,60.8,3.1365,39.6,97.55,23.2,9.1944,81.8,0.0,34.4,0.0,7.5,-6.0,73.8,90.5,47.1
67_1,1769.5726,46.0,781.9703,7.2,3.1399,40.4,95.8951,19.6,4.6745,53.9,-5.72,2.9,35.58,84.0,-6.6,50.1,85.0,21.9
67_2,1637.2708,22.7,761.0558,2.9,3.1453,41.0,96.5443,20.7,2.0824,34.8,5.42,84.5,34.37,77.1,-6.5,55.0,86.8,27.9
67_3,1577.434,12.4,787.863,7.7,3.1655,43.9,93.848,13.3,2.033,34.1,4.66,79.6,37.49,90.4,-5.9,76.3,83.1,18.0
67_4,1522.2534,6.9,842.7441,18.9,3.0254,26.2,99.1316,26.3,-1.8838,16.4,-1.21,18.8,31.99,61.0,-6.9,32.8,84.4,20.4
67_5,1669.3605,28.2,786.919,7.4,3.042,28.1,100.2442,28.7,7.9926,73.7,2.6,62.1,38.36,92.8,-6.0,73.8,86.9,28.4
68_1,1970.8468,76.9,823.2939,14.3,3.2387,53.0,104.6591,41.5,10.7479,90.4,6.53,89.7,36.47,88.1,-6.7,43.8,98.2,89.4
68_2,2014.3804,82.3,780.9485,7.1,3.1326,39.1,108.0614,52.3,12.9751,95.4,1.9,56.1,37.97,91.9,-6.4,59.2,97.4,86.7
68_3,1914.6313,71.3,772.0697,5.3,3.1743,44.6,106.5048,48.4,11.7455,92.6,2.19,58.3,39.28,95.7,-6.6,50.1,98.6,90.4
68_4,1814.4098,54.9,760.7219,2.8,2.9267,15.8,106.0956,47.0,7.7151,72.6,2.86,64.7,29.74,43.7,-7.3,17.6,99.7,92.6
68_5,2076.3157,88.3,769.0294,4.6,3.3617,73.3,104.8836,42.0,10.3521,88.6,2.2,58.6,33.51,70.8,-6.6,50.1,99.5,92.0
69_1,1698.0919,33.0,861.9069,26.7,2.9188,15.0,106.8839,49.6,-1.0682,19.6,0.82,48.5,35.3,81.9,-6.5,55.0,93.1,63.8
69_2,1731.1328,39.4,876.1677,32.0,3.1234,38.2,106.6812,48.9,3.5905,46.1,2.61,62.4,38.1,92.3,-6.4,59.2,94.3,72.4
69_3,1603.9529,17.2,832.563,16.7,3.2682,57.0,102.8068,35.5,3.4832,45.4,4.63,79.2,35.56,83.8,-6.9,32.8,92.8,62.0
69_4,1722.0182,38.2,809.8145,11.0,3.1742,44.4,100.7478,29.4,1.3175,30.5,0.0,34.4,0.0,7.5,-6.7,43.8,96.5,83.6
69_5,1587.04,14.1,811.9351,11.5,3.1981,47.3,102.234,33.4,-1.9592,16.0,2.93,65.1,35.87,85.9,-6.8,38.1,94.0,69.9
72_1,1764.1799,44.9,770.4573,5.2,3.0088,24.6,119.013,79.9,5.8335,61.3,1.22,51.6,34.64,79.0,-6.7,43.8,81.9,15.1
72_2,1796.4492,50.8,827.3577,15.1,3.1348,39.2,118.4094,78.0,5.1606,56.8,0.36,44.1,33.03,68.0,-6.9,32.8,82.7,17.3
72_4,1788.3557,49.4,739.6453,1.7,2.8721,12.6,119.0818,80.2,-4.108,8.4,0.0,34.4,0.0,7.5,-6.3,64.2,80.5,11.0
72_5,1674.5802,28.7,860.6144,26.0,2.8588,11.9,118.5887,78.5,-6.533,4.5,3.14,66.3,36.88,89.5,-6.1,71.3,78.0,7.6
73_1,2003.9998,80.7,928.7552,55.1,2.9213,15.3,112.6819,68.2,6.8375,67.6,2.59,62.0,42.17,98.6,-5.4,85.7,76.0,5.1
73_2,1927.9269,72.5,916.7441,49.7,2.9597,19.1,113.9467,70.7,12.6126,94.3,5.57,85.7,39.21,95.5,-6.0,73.8,78.7,8.2
73_3,2050.9424,85.4,969.3036,77.8,2.3579,0.5,89.2545,7.1,9.7384,84.9,3.77,73.1,39.52,95.9,-6.3,64.2,81.9,15.1
73_4,2252.4084,96.7,1004.919,89.5,2.5884,2.2,109.0785,55.4,10.6309,89.5,0.85,49.4,43.14,99.5,-5.5,84.3,76.4,5.6
73_5,2173.3652,93.8,1016.3989,92.3,2.6632,4.0,119.5101,81.6,9.8188,85.9,-2.96,9.1,40.69,97.2,-5.7,81.1,80.1,10.2
81_1,1718.7792,36.8,836.2386,17.4,2.9376,16.9,126.598,91.7,4.3128,50.8,8.59,94.8,33.18,68.5,-6.7,43.8,90.8,49.1
81_2,1690.2126,31.0,858.027,24.6,2.8784,12.9,124.2827,90.0,4.4744,52.2,0.0,34.4,0.0,7.5,-7.3,17.6,91.9,56.0
81_3,1860.2767,63.2,918.5385,50.3,2.9768,20.7,123.2034,88.6,6.6721,67.0,-1.58,16.2,24.54,21.7,-7.1,25.6,96.8,85.2
81_4,1782.621,47.8,884.1287,35.5,3.0345,27.4,123.9119,89.7,9.3785,83.5,3.48,71.1,28.23,36.5,-6.9,32.8,91.7,54.5
81_5,1720.2427,37.3,926.0627,53.5,2.9247,15.7,128.4945,93.1,-0.4966,22.4,-1.42,17.9,26.54,26.9,-7.1,25.6,91.2,51.1
84_1,1581.9644,13.3,881.0062,33.9,3.2943,62.1,97.2829,22.5,7.3721,70.9,-1.09,19.2,37.08,89.8,-5.7,81.1,95.0,75.1
84_2,1525.8021,7.2,862.092,26.9,3.1091,36.7,94.7597,16.5,5.1767,57.0,-4.31,5.2,36.61,88.5,-5.9,76.3,95.7,80.6
84_3,1653.5984,25.8,858.9567,25.3,3.0417,27.9,97.0799,22.0,1.374,30.8,3.79,73.9,31.99,61.0,-6.4,59.2,93.2,64.4
84_4,1546.8594,9.0,890.7776,38.6,3.0313,26.9,94.4529,15.1,0.6939,28.7,1.19,51.4,35.88,86.1,-5.7,81.1,91.3,52.0
84_5,1609.2556,18.4,881.5908,34.4,3.0271,26.5,96.4041,20.5,4.3067,50.6,0.0,34.4,0.0,7.5,0.0,95.8,96.5,83.6
86_1,1520.2566,6.7,860.9936,26.2,2.8383,11.2,94.5996,15.8,5.9453,61.4,0.0,34.4,0.0,7.5,-6.6,50.1,91.7,54.5
86_2,1719.5587,37.0,958.2596,73.7,3.1034,35.8,98.7212,25.6,2.8507,40.4,3.98,75.7,35.77,85.2,-6.4,59.2,96.8,85.2
86_3,1655.0676,26.0,889.9213,37.7,2.9687,20.0,96.7208,21.3,3.4045,44.8,4.05,76.2,28.11,35.7,-7.7,9.0,97.9,88.6
86_4,1649.4635,25.0,794.5546,9.1,3.0531,29.3,102.2625,33.7,1.777,32.9,9.22,96.0,25.51,23.9,-7.7,9.0,92.5,59.8
86_5,1765.1786,45.3,935.3278,58.9,3.0664,31.2,98.8903,25.8,7.3829,71.1,3.63,71.9,31.97,60.4,-7.3,17.6,100.4,93.8
89_1,1794.2339,50.4,859.0192,25.5,3.3029,63.2,101.3918,31.5,2.9095,40.8,-1.56,16.4,28.06,35.1,-6.3,64.2,95.1,75.6
89_2,1801.3269,51.6,846.6447,20.0,3.4286,78.3,102.9176,35.8,6.2198,63.5,-2.63,9.6,24.8,22.4,-7.2,21.3,97.5,87.2
89_3,1685.0315,30.5,820.1794,13.8,3.1384,40.1,102.9662,36.3,-1.8704,16.5,-0.26,24.7,23.02,18.8,-7.6,10.7,96.1,82.0
89_4,1811.6665,53.7,838.6638,17.7,3.3033,63.3,104.1384,39.9,6.2593,64.2,0.6,45.8,23.43,19.3,-7.7,9.0,94.0,69.9
89_5,1790.4404,49.9,846.7994,20.3,3.1368,39.8,103.0543,36.7,-2.4388,14.6,0.0,34.4,33.21,68.7,-7.1,25.6,93.7,67.6
