session_swing,hand_speed_mag_swing_max_velo_x,hand_speed_mag_swing_max_velo_x_pct,torso_angular_velocity_swing_max_x,torso_angular_velocity_swing_max_x_pct,swing_efficiency,swing_efficiency_pct,bat_torso_angle_connection_x,bat_torso_angle_connection_x_pct,attack_angle_contact_x,attack_angle_contact_x_pct,poi_x,poi_x_pct,poi_y,poi_y_pct,pitch_angle,pitch_angle_pct,exit_velo_mph_x,exit_velo_mph_x_pct
353_4,1647.7777,24.4,909.169,46.3,2.6821,4.8,109.69,58.2,2.1979,36.0,6.48,89.2,26.11,25.5,-7.6,10.7,89.7,42.2
353_5,1706.9518,34.8,889.1937,37.3,2.4446,0.9,115.4278,73.5,5.387,58.9,4.09,76.4,31.44,55.9,-6.5,55.0,92.8,62.0
353_6,1660.5082,26.7,930.4847,56.5,2.4472,1.0,118.2209,77.6,6.786,67.3,3.28,68.0,30.46,49.1,-6.5,55.0,87.5,30.4
353_7,1614.4536,20.0,950.7081,69.0,2.8229,9.8,104.2713,40.8,10.0938,87.1,7.96,93.9,32.09,61.8,-6.4,59.2,89.7,42.2
353_8,1571.4153,11.2,988.2984,84.7,2.7583,7.2,118.9899,79.7,11.4727,91.9,7.46,92.9,34.84,79.9,-6.1,71.3,87.2,29.3
358_1,2101.7622,90.5,947.5407,66.8,3.3179,66.4,72.1515,1.0,0.3106,26.7,2.48,60.8,25.68,24.1,-7.4,14.6,99.8,92.9
358_3,2173.9099,94.0,987.0494,84.2,3.3574,72.6,71.2864,0.7,1.8681,33.0,6.15,88.5,24.41,21.2,-7.6,10.7,95.5,78.7
358_5,2069.1597,87.3,997.2286,87.8,3.4267,78.1,72.3914,1.2,8.2083,74.9,2.51,61.3,38.76,94.6,-6.1,71.3,95.4,77.2
358_6,2201.8342,95.2,993.4079,86.7,3.4041,75.9,69.6068,0.3,7.3343,70.6,3.26,67.6,35.83,85.7,-6.6,50.1,101.0,95.3
358_7,2250.4241,96.6,1000.0746,88.1,3.4934,83.3,71.5823,0.9,4.4272,52.0,5.54,85.3,28.49,38.0,-7.2,21.3,100.6,94.3
358_8,2233.3809,95.9,1044.5427,94.8,3.6698,97.4,70.323,0.5,8.5619,77.1,1.34,52.3,31.06,53.5,-6.6,50.1,101.4,96.6
36_1,1788.6877,49.6,962.4623,75.7,3.4416,79.5,105.8587,45.6,7.8455,73.1,-1.34,18.3,36.8,89.2,-7.4,14.6,95.4,77.2
36_2,1706.5358,34.6,901.5486,43.0,3.4132,76.2,112.1714,67.1,7.225,70.1,-4.94,4.1,35.46,83.0,-7.8,7.5,96.0,81.5
36_3,1786.2355,48.7,956.6447,72.1,3.5487,88.0,101.1961,31.2,3.8746,47.5,0.73,47.3,33.09,68.3,-8.5,3.4,97.9,88.6
